,municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
57,Nahant,100.0,4.430816798843313,-0.06136894637629213,-2.639057329615259,-1.791759469228055,-1.9459101490553135,-3.131136910560194,-1.3393774413321389,4.583332594819866,95.824,17.091232146091514,1930.577620173365,4.896705803608905,4.2680199729774,0.312608250846777,2.5,0.008142116950407105,0.0540340488527017
58,Natick,92.66284606851575,6.694562058521095,-0.24251310408386942,-2.9809899918167875,-1.882377703148678,-2.0794415416798357,-3.755870322930215,-1.5714254722403942,4.824330771250232,98.633,19.746990526058802,1949.9447808683158,3.968789610457913,3.3222736530114223,0.016668896723508884,2.594304137560451,0.0,0.9711624574601468
59,Needham,85.00465651630445,6.483107351457199,-0.1269996907613074,-3.7105186292174173,-1.2846103201913728,-2.0057705369789924,-3.1710851610318525,-0.6125666939006059,5.073871546827327,96.303,19.55455496621755,1959.7531169268786,4.399618048090447,3.712867228964268,0.11425648556743084,2.5095238095238095,0.24455486542443056,0.7685300207039337
60,Newton,77.16804746863193,6.803505257608338,-0.351456303171112,-2.159114358466965,-1.594019104766917,-1.583149432530013,-2.96010509591084,-1.2174483396905167,4.795159353932147,98.258,19.83327615162965,1932.954369290394,4.918335287710989,4.286148808160688,0.5304185620377571,1.8877815340036002,0.4455042367300347,0.547086973701541
61,Norfolk,0.0,5.7430031878094825,-0.03922071315328127,-4.133565275375382,-1.024504316514388,-3.0349529867072724,-4.331928797691105,-1.2533605185579646,4.85396283011863,98.164,19.83167454271532,1975.3056673892845,2.632597320776686,1.6952473229430374,0.09693267000814182,0.01373267067747842,0.0,0.12634057023280146
62,North Reading,1.1413217565997076,6.976348070447749,-0.04097762443263832,-4.268297869345538,-1.2826159316450492,-2.2227578793413842,-4.4536630676944835,-1.3842430783493334,4.878125648487458,94.734,19.66006564229445,1967.0538550057538,3.1969055655651784,2.6464275831347837,0.055001047354393574,2.5,0.0,0.0
63,Norwell,0.0,6.113682179832232,-0.04063764573182627,-5.015069891164122,-1.1864284946750265,-1.9705474534406986,-6.796823718274855,-0.8487887290942094,4.932431870784644,99.496,20.117233381681054,1957.2808333333332,2.6765386989281534,1.8122353853584106,0.10436128885505476,2.5,0.0,0.13954555887078265
64,Norwood,57.157367900729824,6.551080335043404,-0.09117588066586992,-2.967561396587295,-1.3361445774344192,-1.7635885922613588,-2.20421761282719,-2.856121834853086,4.522844098877271,98.297,19.3389950323924,1945.4238185768604,3.9904213993408937,3.078205807426108,0.34941252339887574,0.0,0.036300219609869525,0.06691641906730397
65,Peabody,89.06555989639082,6.787844982309579,-0.0402584554802637,-3.7921127087555884,-1.7379889750600424,-1.3987732524930787,-2.835883572612095,-2.1314368367982164,4.637463864494479,98.653,19.7584676378896,1949.5885145124894,4.079201288572006,3.1324603795240327,0.018826257843215642,0.06404615939415795,0.7593725207356651,0.9886043995672557
66,Pembroke,96.39956331234075,6.855408798609928,-0.038672918014959375,-3.859676525055937,-1.3180745315913913,-2.524675458323597,-4.365073392297914,-1.5078107930090283,4.792486557840285,95.587,20.16059582138718,1964.7632909185986,2.9616891705002253,2.336750795309739,0.06275163290432723,2.5,0.0,0.09158301158301159
